reference,summary
"research on the implications of anxiety in parkinson 's disease ( pd ) has been neglected despite its prevalence in nearly 50% of patients and its negative impact on quality of life . 
 previous reports have noted that neuropsychiatric symptoms impair cognitive performance in pd patients ; however , to date , no study has directly compared pd patients with and without anxiety to examine the impact of anxiety on cognitive impairments in pd . 
 this study compared cognitive performance across 50 pd participants with and without anxiety ( 17 pda+ ; 33 pda ) , who underwent neurological and neuropsychological assessment . 
 group performance was compared across the following cognitive domains : simple attention / visuomotor processing speed , executive function ( e.g. , set - shifting ) , working memory , language , and memory / new verbal learning . 
 results showed that pda+ performed significantly worse on the digit span forward and backward test and part b of the trail making task ( tmt - b ) compared to the pda group . 
 there were no group differences in verbal fluency , logical memory , or tmt - a performance . in conclusion , 
 anxiety in pd has a measurable impact on working memory and attentional set - shifting .","overall , neuropsychiatric symptoms in pd have been shown to be negatively associated with cognitive performance . for example , higher depression scores have been correlated with lower scores on the mini - mental state exam ( mmse ) [ 8 , 9 ] as well as tests of memory and executive functions ( e.g. , attention ) [ 1014 ] . the first study found that working memory performance was worse in lpd patients with anxiety compared to rpd patients without anxiety , whereas the second study reported that , in lPD , apathy but not anxiety was associated with performance on nonverbally mediated executive functions and visuospatial tasks ( e,g.., tmt - b , wms - iii spatial span ) , while in rpd , anxiety but not apathy significantly correlated with performance in verbally mediated tasks (e.g., , clock reading test and boston naming test ) . taken together , it is evident that there are limited and inconsistent findings describing the relationship between anxiety and cognition in pds and more specifically how anxiety might influence particular domains of cognition such as attention and memory and frontal functioning . it is also striking that , to date , no study has examined the influence of anxiety on cognition in Pd by directly"
"small non - coding rnas include sirna , mirna , pirna and snorna . 
 the involvement of mirnas in the regulation of mammary gland tumorigenesis has been widely studied while the role for other small non - coding rnas remains unclear . here 
 we summarize the involvement of mirna in breast cancer onset and progression through regulating the cell cycle and cellular proliferation . 
 the regulation of breast cancer stem cells and tumor regeneration by mirna is reviewed . 
 in addition , the emerging evidence demonstrating the involvement of pirna and snorna in breast cancer is briefly described .","small non - coding rnas are transcribed into mrna but remain untranslated in eukaryotic cells . as small non - coded rnas regulate gene expression and tumorigenesis , they may represent a novel cancer therapy . the first study about the altered expression of mirnas in human breast cancer patients and human breast tumor cell lines was reported in 2005 by lorio et al . many distinct mirnas have been shown to regulate breast cancer cell proliferation , apoptosis , cancer stem cell expansion , and tumorsigenesis . 1mirna regulation of mammary gland tumorigenigenesis in control of the cell cycle . through targeting different genes and different cyclin / cdk complexes , mir-17/20 and let-7 regulate the g1-s transition ; mir-21 and mir-27a regulate the G2-m checkpoint mirna regulator of mamm mamm gland tumor initiation and progression . the regulation of cyclin d1 expression by mir- 17 - 92 , as well as mir-15/16 , was confirmed by deshpande et al , demonstrated the downregulation of cyclic d1 by mirna let-1 in control and cancer cell growth . the mir-221/222 cluster regulates the cell cell"
"objective : to evaluate the efficacy and safety of outpatient management of severe ovarian hyperstimulation syndrome  ( ohss ) requiring placement of a pigtail catheter.methods : retrospective analysis of thirty - three consecutive patients who underwent in - vitro fertilization  ( 2003 - 2009 ) and developed severe / critical ohss requiring placement of a pigtail catheter . 
 patients who were managed on outpatient basis were monitored by frequent office visits , daily phone calls , and received iv normal saline for hydration when required.results : in 3 patients  ( 9.1% ) ohss started early , requiring placement of a pigtail catheter 4.3 + 0.6 days after retrieval . in 30 patients  ( 90.9% ) 
 ohss started late  ( 14  4 days after retrieval ) . 
 the mean amount of ascitic fluid drained immediately after placement of the catheter was 2085  1018 cc . 
 the pigtail catheter was removed after 7.8  5.3 days . 
 of the 31 patients who had embryo transfer  ( two had total freeze ) , 84% conceived . 
 twenty - nine patients  ( 88% ) were managed on outpatient basis without any complications . 
 four patients required hospital admission for 1 - 7 days  ( 3.0  2.7 ) . 
 one patient with severe ohss was admitted for work up for chest pain . 
 three patients with critical ohss with severe pleural effusion requiring thoracentesis were admitted for supportive measures.conclusion : the placement of a pigtail catheter resulted in safe and effective outpatient management for the majority of patients with severe ohss .","severe and critical forms of ohss are associated with significant ascites  ( golan et al . , 1989 ; rizk et al , 2010 ) ) , in a previous study we described the use of percutaneous placement of a pigtail catheter for drainage of ascites caused by severe / critical ohss  ( abuzeid et al ; in this study we established the efficacy and safety of pigtail Catheter drainage in the management of severe / Critical ohss in patients who underwent in vitro fertilization and embryo transfer at our centre between 1999 and 2001 on both inpatient and outpatient basis . the aim of the current study was to evaluate the role of the pigtail Cheter drainage  in outpatient management of patients with early onset severe ohss . the catheter was guided into the peritoneal cavity by the wire after removal of the stylet of the pen catheter . our data include the number of patients requiring early versus late placement of pigtails catheter , mean amount of ascitic fluid drained immediately after pigtail placement , number of days of pig tail catheter drainage and the number the days between oocyte retrieval and the onset of severe Ohss symptoms requiring pigtail insertion . therefore ultrasound guided drainage of the"
"congenital adrenal hyperplasia is a group of autosomal recessive disorders caused by enzyme deficiency which leads to defects in biosynthesis of steroid precursors . 
 most common is 21 hydroxylase deficiency . 
 clinical spectrum varies from non - classical cah to classic cah , and it may be simple virilising form or salt - wastinfg type . 
 29 patients were included in our study from january 2012 to october 2012 . 
 76% were females . 
 male babies typically presented with adrenal crisis between 3rd to 6th week of life . around 20% of females 
 were identified and appropriately treated only after late adolescence . 
 short stature was seen in 1/3rd of patients . 
 1/3rd of patients had suppressed 17 ohp levels suggestive of over - replacement therapy which may contribute to final reduction in adult height .","congenital adrenal hyperplasia ( cah ) refers to a group of autosomal recessive disorders caused by an enzyme deficiency which leads to defects in biosynthesis of steroid precursors . it also helps in maintaining normal levels of precursursors by suppressing adreno cortico trophic hormone ( acth ) . johns medical college hospital , bangalore by the department of endocrinology on patients diagnosed to have cah and seen in the outpatient clinic between january 2012 and october 2012 . among the females , 9 infants were identified at birth due to presence of genital ambiguity ( 40% ) , 1 presented with symptoms of adrenal crisis at 4 weeks of life , 4 patients presented in the pre pubertal period due to early onset adrenarche ( 18% ). , 5 patients presentation in the late adolescent period with marked virilization ( 23% ) and 3 patients presented with features of poly cystic ovarian disease ( pcos ) . all the five patients who presented at the late adolescence period had obvious genital ambiguity from birth , however , they sought medical attention only much later due to marked virilsization and failure to attain menarche . one among them had actually been evaluated and even underwent a clitor"
"objective(s):pentoxifylline is an immunomodulatory and anti - inflammatory agent and is used in vascular disorders . 
 it has been shown that pentoxifylline inhibits proinflammatory cytokines production . 
 the purpose of this study was to investigate the therapeutic effects of pentoxifylline on the treatment of autoimmune diabetes in mice.materials and methods : diabetes was induced by multiple low dose of streptozotocin ( mlds ) injection ( 40 mg / kg / day for 5 consecutive days ) in male c57bl/6 mice . 
 after induction of diabetes , mice were treated with pentoxifylline ( 100 mg / kg / day ip ) for 21 days . 
 blood glucose levels and plasma levels of insulin were measured . 
 splenocytes were tested for proliferation by mtt test and cytokine production by elisa.results:pentoxifylline treatment prevented hyperglycemia and increased plasma insulin levels in the diabetic mice . aside from reducing lymphocyte proliferation , pentoxifylline significantly inhibited the production of proinflammatory interleukin 17 ( il-17 ) as well as interferon gamma ( ifn- ) , while increased anti - inflammatory cytokine il-10 as compared with those in mlds group ( diabetic control group).conclusion : these findings indicate that pentoxifylline may have therapeutic effect against the autoimmune destruction of the pancreatic beta - cells during the development of mlds - induced type 1 diabetes in mice .","it has been shown that some drugs such as pentoxifylline ( ptx ) have immunomodulatory and anti - inflammatory activity , which might represent a potential preventive therapy for autoimmune diseases . treatment with ptx ( 100 mg / kg / day for 21 days , ip ) plasma , separated from blood by centrifugation , was stored at -80c until insulin assay . remaining free floating cells were seeded on culture dishes at a density of 510cells / ml in rpmi 1640 with 10% fetal calf serum , and 2 the splenocytes ( 510cells/ ml ) were treated with 2 g / ml concanavalin a for 72 hr , and cell supernatants were collected , then the levels of il-10 , il17 and ifn -  were measured by elisa kits according to the manufacturers instructions . thirty microliters of 5 mg / ml mtt ( ( 3-(4,5-dimethylthiazolyl)-2,5 -diphenyl - tetrazolium bromide ) ) in pbs was added to each well , and the plate was incubated at 37c for 4 hr . thirty mg /ml mtt ) ( ( ( 4,5"
"abstractobjective : to determine the presence of staphylococcal superantigen - specific ige antibodies and degree of ige - mediated sensitization , as well as whether or not those are associated with the severity of asthma in adult patients . 
 methods : this was a cross - sectional study involving outpatients with asthma under treatment at a tertiary care university hospital in the city of rio de janeiro , brazil . 
 consecutive patients were divided into two groups according to the severity of asthma based on the global initiative for asthma criteria : mild asthma ( ma ) , comprising patients with mild intermittent or persistent asthma ; and moderate or severe asthma ( msa ) . 
 we determined the serum levels of staphylococcal toxin - specific ige antibodies , comparing the results and performing a statistical analysis . 
 results : the study included 142 patients : 72 in the ma group ( median age = 46 years ; 59 females ) and 70 in the msa group ( median age = 56 years ; 60 females ) . in the sample as a whole , 62 patients ( 43.7% ) presented positive results for staphylococcal toxin - specific ige antibodies : staphylococcal enterotoxin a ( sea ) , in 29 ( 20.4% ) ; seb , in 35 ( 24.6% ) ; sec , in 33 ( 23.2% ) ; and toxic shock syndrome toxin ( tsst ) , in 45 ( 31.7% ) . 
 the mean serum levels of ige antibodies to sea , seb , sec , and tsst were 0.96 u / l , 1.09 u / l , 1.21 u / l , and 1.18 u / l , respectively . 
 there were no statistically significant differences between the two groups in terms of the qualitative or quantitative results . 
 conclusions : serum ige antibodies to sea , seb , sec , and tsst were detected in 43.7% of the patients in our sample . 
 however , neither the qualitative nor quantitative results showed a statistically significant association with the clinical severity of asthma .","found ige antibodies to sea , sec , and tsst in 89.7% of 237 asthma patients ( mean levels of 1.096  3.25 ku / l ) ; although there was no significant difference between those with severe asthma and those with non - severe asthma in terms of the prevalence of staphylococcal toxin - specific ige antibody ( 81.4% vs. 69.2% ) , mean levels were higher in the former than in the latter ( 1.65  3,25 k u / l vs. 0.54  0.72 ku/ l ) . in another study ( n = 210 ) , the same authors obtained similar results , the prevalence rate of stapyloccal toxin / specific ig antibodies being 76.1% in patients with severe ast and 71.1%% in those with Non - severe ast , mean level being three times higher inthe former more in the absence . therefore , we investigated a population of asthma patients treated at a university hospital in the city of rio de janeiro , brazil , and having no risk factors for increased staphyococcal colonization or infection in order to correlate the clinical severity of asthma with the presence"
"background : since the family is a social system , the impairment in each of its component members may disrupt the entire family system . 
 one of the stress sources for families is accidents leading to hospitalization particularly in the intensive care unit ( icu ) . in many cases , 
 the families needs in patient care are not met that cause dissatisfaction . since the nurses spend a lot of time with patients and their families , they are in a good position to assess their needs and perform appropriate interventions . 
 therefore , this study was conducted to determine the effectiveness of nursing interventions based on family needs on family satisfaction level of hospitalized patients in the neurosurgery icu.materials and methods : this clinical trial was conducted in the neurosurgery icu of al - zahra hospital , isfahan , iran in 2010 . 
 sixty four families were selected by simple sampling method and were randomly placed in two groups ( test and control ) using envelopes . in the test group , 
 some interventions were performed to meet their needs . in the control group , 
 the routine actions were only carried out . 
 the satisfaction questionnaire was completed by both groups two days after admission and again on the fourth day.findings:both of the intervention and control groups were compared in terms of the mean satisfaction scores before and after intervention . 
 there was no significant difference in mean satisfaction scores between test and control groups before the intervention . 
 the mean satisfaction score significantly increased after the intervention compared to the control group.conclusions:nursing interventions based on family needs of hospitalized patients in the icu increase their satisfaction . 
 attention to family nursing should be planned especially in the icus .",", their satisfaction level is another important source of stress for the patient s family . since , how families deal with mental stress is the most important components of comprehensive care , it should be known that attention to the family needs of the patients hospitalized in intensive care units could increase their satisfaction and thus a reduction in stress disorders . however , the nurses spend a lot of time with the patients and their families and are in a good position to assess their needs and plan for meeting these needs with appropriate interventions . today , there are many theories expressed that in intensive Care units , the patient and his family should be considered as a single unit . by providing care to this unit , the aim of this study was to analyze the satisfaction of the families of icu patients . in 2008 also showed that the increase in the availability of physicians for giving the information to the patient  family and as well as nurses efforts to provide understandable explanations about the patient sign satisfaction . this clinical trial was performed with respect to the existing gap for a study carried out for investigating the interventions for the satisfaction and the patients in the special care units and their Families in iran . the purpose of the study wasto determine the effectiveness of nursing interventions based on family needs on family satisfaction level of hospitalized patients"
"background and objective :   anxiety and depression are among the psychological disorders in heart 
 surgeries . establishing a simple communication is essential to reduce anxiety and depression . 
 hence , the objective of the present studywas to examine the impact of peplau therapeutic communication model on anxiety and depression in patients , who were candidate for coronary artery bypass in al - zahra heart hospital , shiraz during 2012 - 2013 . 
 methods :   this is a clinical trial in which 74 patients were randomly divided into intervention and control groups , each consisted of 37 patients . anxiety and depression levels were assessed before , and two and four months after intervention using the hospital anxiety and depression scale ( hads ) . 
 seven therapeutic communication sessions were held in four stages . 
 data were analyzed with the spss ( version 16 ) using analysis of covariance . 
 results :   the mean anxiety and depression levels decreased in the intervention group after the therapeutic communication ( p<0.01 ) . 
 anxiety scores in the intervention group before and after intervention were 10.23 and 9.38 , respectively . while the corresponding scores in the control group were 10.26 and 11.62 , respectively . 
 depression scores in the intervention group before and after intervention were 11 and 9.13 , respectively . 
 the corresponding scores in the control group were 11.30 and 12.08 , respectively . 
 conclusion :   the results demonstrated the positive role of therapeutic communication in reducing anxiety and depression of the patients . 
 therefore , the therapeutic communication is recommended as a simple , cost effective and efficient method in this area .","in fact , this is not only a chronic disease associated with high mortality , but it causes limitations in life and disability in a large part of the productive forces of the country . one of the surgical procedures for the treatment of cardiovascular patients is coronary artery bypass surgery . on the other hand , anxiety causes increased heart rate and breathing as well as high blood pressure and even mortality . clinical depression has been reported in 54% of patients after bypass surgery , given the incidence of such complications in patients with cardiovascular disease the best practice in this area is appropriate communication with patient [ 13 , 15 ] . in fact , communication at the bedside is a therapeutic and professional communication . accordingly , the objective of the present study is to examine the impact of peplau therapeutic communication model on anxiety and depression in patients who were candidate for coronary artery surgery . the depression and anxiety of patients in both groups were assessed using the hospital anxiety and major depression scale ( hads ) at baseline and then two and four months after surgery .the hospital anxiety in the intervention group this indicates the role of pePlau 's therapeutic communication in reducing hospital anxiety / patients .In fact , the mean anxiety scores of patients at the intervention groups in pre - test and post - test stages represent"
worldwide emergence of variant viruses has prompted a change in the 20052006 h3n2 influenza a vaccine strain .,"clinical evaluations and throat specimens were obtained from 64 patients from 3 refugee camps in southeastern nepal ( figure 1 ) . alignment of the 329amino acid ha protein from 26 isolates obtained from this outbreak with the 2004/05 a / wyoming/3/03 vaccine strain and previous h3n2 vaccine strains indicated 4 evident amino acid changes present in most of the isolates ( table 2 ) . all 4 amino acid differences observed within most of these outbreak isolates are present within a / california/7/04 , a variant strain selected as the h3 n2 vaccine strain for the 20052006 influenza season . additionally , all 26 nepal sequences exhibited a serine - to - asparagine substitution at position 189 ( s189n ) that had also been observed in the 6 isolates from germany , as well as in a few isolatesfrom asia characterized at the end of the 20032004 influenza season , unrooted phylogenetic analysis of ha1 hemagglutinin nucleotide sequences from 26 nep isolates and h3N2 vaccine and reference strains . located above the receptor - binding pocket is a serines - to + asparagin change ( shown in green ) that"
"excess weight has generally been associated with adverse health outcomes ; however , the link between overweight and health outcomes may vary with socioeconomic , cultural , and epidemiological conditions . 
 we examine associations of weight with indicators of biological risk in three nationally representative populations : the us national health and nutrition examination survey , the english longitudinal study of ageing , and the social environment and biomarkers of aging study in taiwan . 
 indicators of biological risk were compared for obese ( defined using body mass index ( bmi ) and waist circumference ) and normal weight individuals aged 54 + . generally , obesity in england 
 was associated with elevated risk for more markers examined ; obese americans also had elevated risks except that they did not have elevated blood pressure ( bp ) . including waist circumference in our consideration of bmi indicated different links between obesity and waist size across countries ; we found higher physiological dysregulation among those with high waist but normal bmi compared to those with normal waist and normal bmi . 
 americans had the highest levels of biological risk in all weight / waist groups . 
 cross - country variation in biological risk associated with obesity may reflect differences in health behaviors , lifestyle , medication use , and culture .","for nhanes , we use individual - level data based on a sample of 1,513 fasting individuals aged 54 and older . when we examine waist circumference , the us has the highest average waist circumference ), with 65.5% of americans , 55.9% of english , and 15.8% of taiwanese having a high waist size ( table 2(a ) ) . among those in the normal and overweight group about half ( 49.5 % ) of american and a third ( 36.4% ) of the english almost all obese individuals have a high WH in the us and england ( 98.3% in the we and 96.5%% in england ) , but only 78.7% of the obese in taiwana also have a large waist . in the them and in the england , men with high waist are more likely to have high levels of glycosylated hemoglobin and higher crp ; fasting glucose is also elevated among this group of the us ( table 3(a - ) . high risk crp is more common among both americans and english women with normal bmi and high waist , and this risk of elevated cr p is also higher in the obese"
